application_id,user_id,age,income,requested_amount,term_months,purpose,application_status,created_at,decision_date,score,scoring_decision,overdue_count_at_application,active_loans_at_application,loan_id,loan_status,interest_rate,monthly_payment
1,2,34,70677,100000,6,Покупка автомобиля,MANUAL_REVIEW,2026-05-03,2026-05-03,587,MANUAL_REVIEW,0,2,,,,
2,3,25,159542,750000,6,Покупка техники,DISBURSED,2025-11-17,2025-11-17,663,MANUAL_REVIEW,0,0,1,CLOSED,24.79,134191.99
3,4,33,40945,300000,60,Личные нужды,DISBURSED,2025-12-13,2025-12-15,564,MANUAL_REVIEW,0,1,2,OVERDUE,23.63,8566.08
4,6,48,58080,100000,36,Медицинские услуги,MANUAL_REVIEW,2025-08-16,2025-08-17,515,MANUAL_REVIEW,0,1,,,,
5,7,30,157527,750000,24,Медицинские услуги,MANUAL_REVIEW,2026-05-17,2026-05-18,523,MANUAL_REVIEW,1,0,,,,
6,7,30,157527,80000,24,Покупка автомобиля,DECLINED,2026-01-14,2026-01-16,579,MANUAL_REVIEW,1,0,,,,
7,8,33,91817,150000,12,Покупка автомобиля,DISBURSED,2025-07-20,2025-07-20,658,MANUAL_REVIEW,0,0,3,ACTIVE,16.02,13611.05
8,8,33,91817,200000,6,На ремонт,DISBURSED,2025-06-20,2025-06-23,645,MANUAL_REVIEW,0,0,4,CLOSED,22.07,35511.61
9,8,33,91817,500000,36,Медицинские услуги,DECLINED,2026-01-19,2026-01-20,613,MANUAL_REVIEW,0,0,,,,
10,11,25,176497,500000,12,Рефинансирование,DISBURSED,2026-04-18,2026-04-18,616,MANUAL_REVIEW,0,2,5,ACTIVE,19.05,46090.22
11,12,43,224912,100000,36,На ремонт,MANUAL_REVIEW,2026-03-13,2026-03-16,618,MANUAL_REVIEW,0,2,,,,
12,14,34,72294,100000,48,На ремонт,DECLINED,2025-06-11,2025-06-12,549,MANUAL_REVIEW,0,2,,,,
13,16,37,62191,1500000,48,Медицинские услуги,MANUAL_REVIEW,2026-06-21,2026-06-22,469,MANUAL_REVIEW,0,2,,,,
14,17,60,122007,100000,48,На ремонт,MANUAL_REVIEW,2026-01-21,2026-01-21,442,MANUAL_REVIEW,0,1,,,,
15,19,64,38044,1000000,6,Личные нужды,DECLINED,2026-02-17,2026-02-19,318,DECLINE,1,1,,,,
16,19,64,38044,100000,12,Медицинские услуги,DECLINED,2025-06-15,2025-06-16,352,DECLINE,1,1,,,,
17,20,34,180486,300000,36,Медицинские услуги,DISBURSED,2025-07-30,2025-07-31,625,MANUAL_REVIEW,0,1,6,ACTIVE,21.63,11399.79
18,20,34,180486,15000,6,Путешествие,DISBURSED,2026-03-24,2026-03-24,624,MANUAL_REVIEW,0,1,7,OVERDUE,20.31,2650.16
19,20,34,180486,150000,6,Образование,DECLINED,2026-07-03,2026-07-03,649,MANUAL_REVIEW,0,1,,,,
20,22,33,156140,500000,60,На ремонт,DISBURSED,2025-07-29,2025-07-31,578,MANUAL_REVIEW,0,1,8,ACTIVE,15.22,11952.78
21,23,49,107066,750000,24,Покупка автомобиля,DECLINED,2025-09-16,2025-09-17,520,MANUAL_REVIEW,0,0,,,,
22,24,54,70055,2000000,36,Покупка автомобиля,DISBURSED,2025-11-13,2025-11-15,415,MANUAL_REVIEW,0,1,9,ACTIVE,16.09,70402.96
23,26,52,162353,30000,24,Образование,DISBURSED,2026-01-29,2026-01-30,475,MANUAL_REVIEW,0,2,10,ACTIVE,19.53,1519.99
24,26,52,162353,500000,48,Рефинансирование,MANUAL_REVIEW,2026-05-09,2026-05-10,475,MANUAL_REVIEW,0,2,,,,
25,28,58,86936,30000,12,Покупка автомобиля,DISBURSED,2026-02-25,2026-02-25,472,MANUAL_REVIEW,0,1,11,ACTIVE,19.51,2772.0
